Raw Company	Cleaned Company
Flowers Foods	Flowers Foods
Synovus Financial	Synovus
Coca-Cola Enterprises	Coca-Cola
Cox	Cox
Floor & Decor	Floor & Decor
SGMC Health	Sgmc
Acuity Brands	Acuity
United Healthcare	United Healthcare
HD Supply	HD Supply
WestRock	WestRock
InterContinental Hotels Group	InterContinental
CARE	Care
Pratt Industries	Pratt
Genpact	Genpact
TSYS	Tsys
Crawford & Associates	Crawford & Associates
Delta Air Lines	Delta Air
Mansfield Energy	Mansfield
White Cap	White Cap
Global Payments	Global Payments
SiteOne Landscape Supply	SiteOne Landscape
Corpay	Corpay
The Coca-Cola Company	Coca-Cola
Inspire Brands	Inspire
Aflac	Aflac
Railserve	Railserve
CRH	Crh
Home Depot	Home Depot
Theragenics	Theragenics
Solvay	Solvay
United Musculoskeletal Partners	United Musculoskeletal
Carter's	Carter's
Shaw Industries Group	Shaw
Cumulus Media	Cumulus
OlÃ© Mexican Foods	Olé
InComm Payments	InComm Payments
North Highland	North Highland
Primerica	Primerica
Oldcastle Infrastructure	Oldcastle
Beazer Homes	Beazer
Northside Hospital	Northside Hospital
University Health	University Health
Genuine Parts Company	Genuine Parts
WellStar Health System	WellStar
Enercon	Enercon
Mohawk Industries	Mohawk
AkzoNobel	AkzoNobel
Graphic Packaging International	Graphic Packaging
Cox Enterprises	Cox
Heidelberg	Heidelberg
Southwire	Southwire
Piedmont Healthcare	Piedmont
Manheim	Manheim
Capstone Logistics	Capstone Logistics
BBDO Worldwide	Bbdo
McLarens	McLarens
RaceTrac	RaceTrac
Randstad	Randstad
CKS Packaging	Cks
Cox Automotive	Cox
Sharecare	Sharecare
Fisher Phillips	Fisher Phillips
Ted's Montana Grill	Ted's Montana Grill
Oxford	Oxford
PowerPlan	PowerPlan
Ebix	Ebix
Atlanta Cancer Care	Atlanta Cancer Care
Northeast Georgia Health System	Northeast Georgia Health
Citi Trends	Citi Trends
Cox Media Group	Cox
Technicolor Group	Technicolor
Tosca	Tosca
S. P. Richards	S. P. Richards
Havertys Furniture	Havertys
Southeast Georgia Health System	Southeast Georgia Health
Artivion	Artivion
Cobb EMC	Cobb
SNF U.S.A.	SNF
Magna International	Magna
Trackmobile	Trackmobile
SAIA	SAIA
Herschend Family Entertainment	Herschend
Wendy's	Wendy's
Roper Pump	Roper Pump
QUIKRETE	Quikrete
Harbin Clinic	Harbin Clinic
Alston & Bird	Alston & Bird
LeasePlan	LeasePlan
CRIF	Crif
EarthLink	EarthLink
Aaron's	Aaron's
Popeyes	Popeyes
HUGO BOSS	Hugo Boss
MiMedx Group	MiMedx
Cooper Lighting Solutions	Cooper Lighting
THYSSENKRUPP	Thyssenkrupp
Waffle House	Waffle House
Shaw Floors	Shaw Floors
Southern Adventist University	Southern Adventist University
The Longstreet Clinic	Longstreet Clinic
Altium Packaging	Altium
Rinnai	Rinnai
Gwinnett Clinic	Gwinnett Clinic
Thales	Thales
Walgreens Boots Alliance	Walgreens
Vestas Wind Systems A/S	Vestas
BASF	Basf
HSBC Innovation Banking	HSBC
Hugo Boss AG	Hugo Boss
Pirelli & C. S.p.A.	Pirelli
Warner Music Group Corp.	Warner Music
Novo Nordisk	Novo Nordisk
Siemens Healthineers AG	Siemens Healthineers
Pandora	Pandora
Mondelez International	Mondelez
Expedia Group Inc.	Expedia
Voestalpine AG	Voestalpine
The Walt Disney Company	Walt Disney
British Airways	British Airways
OMV Group	OMV
Miele	Miele
SUPERPROD	Superprod
Leonardo SpA	Leonardo
Rabobank	Rabobank
Diageo	Diageo
Warner Bros. Discovery	Warner Bros
Fresenius Medical Care AG & Co. KGaA	Fresenius Medical
Rolls-Royce Holdings plc	Rolls-Royce
Siemens	Siemens
Metro AG	Metro AG
GSK	GSK
Air FranceKLM Group	Air France
Fresenius SE & Co. KGaA	Fresenius
Equinor ASA	Equinor
BBVA	BBVA
BP P.l.c.	BP
DAZN Group	DAZN
Barclays	Barclays
Boehringer Ingelheim	Boehringer Ingelheim
Piaggio & C. Spa	Piaggio
Coty Inc.	Coty
H&M Group	H&M
Novartis AG	Novartis
NatWest Group plc	NatWest
Sanofi SA	Sanofi
Universal Music Group NV	Universal Music
Adidas	Adidas
Tetra Pak	Tetra Pak
Michael Kors	Michael Kors
NH Hotel Group S.A.	NH Hotel Group
Stellantis	Stellantis
BMW Group	BMW
TotalEnergies SE	TotalEnergies
Merlin Entertainments	Merlin Entertainments
Beiersdorf AG	Beiersdorf
Kimberly-Clark Corporation	Kimberly-Clark
RTL Group S.A.	RTL
Electrolux Group	Electrolux
Neste	Neste
Olympus Corporation	Olympus
Sony Music Entertainment India	Sony Music
Scopely	Scopely
Parker Meggitt	Parker Meggitt
Airbus	Airbus
Spotify AB	Spotify
Louis Vuitton	Louis Vuitton
Exxon Mobil Corporation	Exxon
MSC Cruises	MSC Cruises
Pearson PLC	Pearson
Colgate-Palmolive Company	Colgate-Palmolive
HelloFresh	HelloFresh
Accor	Accor
Bayer AG	Bayer
Danone	Danone
Smith & Nephew PLC	Smith & Nephew
Bolt	Bolt
AstraZeneca	AstraZeneca
Playtika Holding Corp.	Playtika
Safran	Safran
Belmond	Belmond
Booking.com	Booking.com
Swarovski Group	Swarovski
LVMH	LVMH
Live Nation Entertainment	Live Nation
HSBC	HSBC
Cartier	Cartier
Deutsche Bahn	Deutsche Bahn
ProSiebenSat.1 Media SE	ProSiebenSat.1
Fullsoon	Fullsoon
Media Impact GmbH & Co. KG	Media Impact
E.ON	E.ON
Pfizer Inc.	Pfizer
AB Inventech A/S	AB Inventech
Groupe SEB	SEB
Michelin	Michelin
Club Med	Club Med
Qiagen N.V	Qiagen
